account_id,name,case_id,case_name,case_source
c0a0,account1,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a1,account2,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a2,account3,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a3,account4,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a4,account5,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a5,account6,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a6,account7,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a7,account8,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a8,account9,c0,shell_example_page249_original,guide_to_criminal_investigations
c0a9,jkl_inc,c0,shell_example_page249_original,guide_to_criminal_investigations
c1a0,bs_papa_smurf,c1,smurf_page245_original,guide_to_criminal_investigations
c1a1,bl_papa_smurf,c1,smurf_page245_original,guide_to_criminal_investigations
c1a2,az73_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a3,az98_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a4,az9_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a5,az33_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a6,az16_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a7,az64_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a8,az58_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a9,or84_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a10,or49_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a11,or27_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a12,or13_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a13,or63_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a14,or4_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a15,or50_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a16,or56_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a17,co98_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a18,co99_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a19,co1_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a20,co90_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a21,co58_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a22,co35_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a23,co93_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a24,co30_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a25,co76_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a26,ne41_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a27,ne4_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a28,ne3_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a29,ne84_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a30,ne70_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a31,ne2_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a32,ne49_jorge_obando,c1,smurf_page245_original,guide_to_criminal_investigations
c1a33,az28_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a34,az55_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a35,az93_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a36,az4_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a37,az68_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a38,az29_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a39,az98_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a40,az57_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a41,az64_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a42,or30_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a43,or45_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a44,or87_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a45,or29_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a46,or98_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a47,or59_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a48,or38_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a49,or3_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a50,or54_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a51,co83_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a52,co13_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a53,co24_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a54,co81_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a55,co93_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a56,co38_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a57,co16_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a58,co96_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a59,co43_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a60,ne92_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a61,ne65_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a62,ne55_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a63,ne86_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a64,ne25_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a65,ne39_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a66,ne37_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a67,ne76_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a68,ne64_ovido_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a69,az51_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a70,az76_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a71,az5_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a72,az62_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a73,az32_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a74,az96_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a75,az52_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a76,az54_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a77,az86_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a78,or47_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a79,or71_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a80,or90_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a81,or87_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a82,or95_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a83,or48_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a84,or12_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a85,co85_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a86,co66_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a87,co14_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a88,co21_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a89,co67_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a90,co51_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a91,co48_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a92,co63_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a93,ne4_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a94,ne61_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a95,ne6_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a96,ne40_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a97,ne91_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a98,ne79_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a99,ne76_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a100,ne75_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a101,ne51_louis_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a102,az22_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a103,az65_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a104,az30_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a105,az2_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a106,az99_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a107,az26_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a108,az70_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a109,az71_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a110,az52_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a111,or45_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a112,or74_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a113,or46_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a114,or59_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a115,or35_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a116,or85_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a117,or71_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a118,or78_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a119,or94_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a120,co50_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a121,co95_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a122,co66_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a123,co17_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a124,co67_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a125,co72_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a126,co27_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a127,ne8_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a128,ne62_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a129,ne47_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a130,ne73_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a131,ne71_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a132,ne26_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a133,ne65_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a134,ne53_lucia_neira,c1,smurf_page245_original,guide_to_criminal_investigations
c1a135,az46_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a136,az54_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a137,az45_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a138,az1_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a139,az69_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a140,az70_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a141,az80_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a142,az79_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a143,or59_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a144,or77_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a145,or4_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a146,or30_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a147,or82_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a148,or23_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a149,or71_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a150,or75_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a151,co12_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a152,co71_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a153,co33_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a154,co5_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a155,co87_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a156,co10_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a157,co11_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a158,ne58_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a159,ne2_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a160,ne97_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a161,ne36_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a162,ne32_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a163,ne35_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a164,ne15_carlos_villalta,c1,smurf_page245_original,guide_to_criminal_investigations
c1a165,az24_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a166,az45_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a167,az38_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a168,az9_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a169,az22_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a170,az21_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a171,az33_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a172,az68_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a173,az85_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a174,or83_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a175,or92_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a176,or38_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a177,or59_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a178,or90_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a179,or42_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a180,or64_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a181,or61_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a182,co4_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a183,co40_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a184,co50_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a185,co44_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a186,co54_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a187,co25_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a188,co34_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a189,ne33_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a190,ne94_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a191,ne66_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a192,ne27_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
c1a193,ne78_jorge_ortiz,c1,smurf_page245_original,guide_to_criminal_investigations
