transaction_id,origin_id,target_id,amount,transaction_count,kind,case_id,case_name,case_source
mt1,c0a0,c0a9,15426675.0,23,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt3,c0a1,c0a9,15582500.0,23,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt5,c0a2,c0a9,14383325.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt7,c0a3,c0a9,14532375.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt9,c0a4,c0a9,14681425.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt11,c0a5,c0a9,14830475.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt13,c0a6,c0a9,14979525.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt15,c0a7,c0a9,15128575.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt17,c0a8,c0a9,15277625.0,22,bank_transfer,c0,shell_example_page249_original,guide_to_criminal_investigations
mt7,c1a9,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt9,c1a10,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt11,c1a189,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt13,c1a174,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt15,c1a143,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt17,c1a190,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt19,c1a26,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt21,c1a42,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt23,c1a17,c1a1,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt25,c1a85,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt27,c1a158,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt29,c1a11,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt31,c1a144,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt33,c1a175,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt35,c1a60,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt37,c1a33,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt39,c1a111,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt41,c1a93,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt43,c1a69,c1a0,27100.0,4,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt45,c1a18,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt47,c1a78,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt49,c1a120,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt51,c1a182,c1a1,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt53,c1a159,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt55,c1a160,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt57,c1a165,c1a1,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt59,c1a34,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt61,c1a145,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt63,c1a86,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt65,c1a87,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt67,c1a70,c1a1,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt69,c1a61,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt71,c1a19,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt73,c1a102,c1a1,27100.0,4,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt75,c1a79,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt77,c1a27,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt79,c1a71,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt81,c1a151,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt83,c1a94,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt85,c1a72,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt87,c1a2,c1a0,27100.0,4,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt89,c1a3,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt91,c1a146,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt93,c1a12,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt95,c1a176,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt97,c1a177,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt99,c1a127,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt101,c1a183,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt103,c1a20,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt105,c1a21,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt107,c1a73,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt109,c1a128,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt111,c1a28,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt113,c1a152,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt115,c1a74,c1a1,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt117,c1a191,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt119,c1a51,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt121,c1a52,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt123,c1a22,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt125,c1a103,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt127,c1a53,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt129,c1a23,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt131,c1a80,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt133,c1a81,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt135,c1a35,c1a1,27100.0,4,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt137,c1a36,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt139,c1a75,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt141,c1a4,c1a1,40650.0,6,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt143,c1a88,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt145,c1a62,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt147,c1a24,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt149,c1a43,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt151,c1a89,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt153,c1a54,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt155,c1a147,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt157,c1a153,c1a1,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt159,c1a82,c1a0,13550.0,2,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt161,c1a13,c1a1,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt163,c1a25,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt165,c1a161,c1a0,20325.0,3,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
mt167,c1a162,c1a0,6775.0,1,bank_transfer,c1,smurf_page245_original,guide_to_criminal_investigations
